Wavelength_nm,2026_02_18_BluGlass_Lot2GainChip_GC1_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC2_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC3_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC4_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC5_T=20C__I=100mA.txt
383.96,43.538,50.412,50.113,52.437,59.884
383.99,51.198,63.012,52.513,60.637,65.384
384.02,50.208,61.312,58.463,62.637,67.684
384.05,48.828,49.012,50.963,61.237,67.184
384.08,41.138,49.212,47.863,54.137,57.484
384.11,50.088,58.712,54.613,66.337,67.884
384.14,42.278,50.812,47.513,55.837,57.584
384.17,48.808,55.712,52.063,61.837,64.184
384.2,42.958,50.212,48.213,59.537,66.684
384.23,47.208,51.712,51.063,59.537,56.284
384.26,38.988,50.812,44.763,56.237,55.484
384.29,51.958,59.512,52.113,66.037,66.684
384.31,39.558,45.912,45.263,57.037,53.584
384.34,49.498,58.012,54.263,60.037,64.684
384.37,42.608,51.312,48.563,58.837,61.284
384.4,48.648,59.712,53.913,68.037,66.884
384.43,42.128,48.412,54.813,58.537,57.884
384.46,48.878,49.612,52.263,59.637,63.684
384.49,41.358,48.712,47.963,56.337,52.284
384.52,50.688,61.912,54.213,61.537,64.184
384.55,40.998,46.112,45.513,51.737,49.984
384.58,52.238,62.512,54.363,64.337,69.884
384.61,43.608,50.112,49.963,56.337,57.784
384.63,52.878,56.012,53.713,62.837,61.684
384.66,57.148,75.812,70.263,79.037,78.784
384.69,50.498,52.712,50.613,64.137,64.884
384.72,43.028,51.912,51.113,54.237,62.284
384.75,51.048,61.512,53.413,64.037,66.384
384.78,45.038,55.112,54.213,53.537,63.784
384.81,53.418,60.012,54.863,65.037,72.284
384.84,40.338,52.812,51.063,55.337,58.984
384.87,51.838,62.812,60.313,64.437,62.884
384.89,47.068,54.012,52.363,58.537,63.884
384.92,62.428,76.012,72.963,78.637,84.584
384.95,48.258,57.112,56.263,58.037,65.284
384.98,57.118,68.512,62.763,73.937,75.384
385.01,47.898,55.912,55.613,66.137,61.984
385.04,56.758,64.712,57.913,76.337,74.684
385.07,45.538,50.912,49.613,60.437,54.184
385.1,57.678,69.212,57.763,78.537,78.184
